Location,Time,Latitude,Longitude,Altitude,Accuracy,Speed,Bearing,Diferença,dist,Tempo Acumulado (min),Dist. Acumulada (km)
0,2021-07-08 18:07:29+00:00,37.15729,-8.552303,91.05896,4.377,0.5109749,144.07991,0.0,0.0,0,0.0
1,2021-07-08 18:07:43+00:00,37.15725,-8.552255,86.91648,4.663,0.8600319,146.15685,14.0,6.154466184313439,0,0.006
2,2021-07-08 18:15:06+00:00,37.157074,-8.552249,74.25831,4.824,5.4180202,156.96977,443.0,19.577529154423825,7,0.026
3,2021-07-08 18:15:09+00:00,37.15695,-8.552124,74.63885,4.824,4.475889,134.0402,3.0,17.686889236390336,7,0.043
4,2021-07-08 18:15:15+00:00,37.156616,-8.551969,76.48249,5.002,6.7734184,172.35103,6.0,39.597940317311604,7,0.083
5,2021-07-08 18:15:18+00:00,37.15641,-8.551932,78.650826,6.968,5.541307,173.76665,3.0,23.139655201206555,7,0.106
6,2021-07-08 18:15:21+00:00,37.156246,-8.551907,74.59501,8.04,6.1403193,176.64975,3.0,18.370060216787074,7,0.125
7,2021-07-08 18:15:27+00:00,37.15583,-8.551946,72.327415,8.576,8.019327,181.99945,6.0,46.3860318477942,7,0.171
8,2021-07-08 18:15:30+00:00,37.15558,-8.551952,66.614006,9.112,9.150872,177.46817,3.0,27.803816664533016,8,0.199
9,2021-07-08 18:15:33+00:00,37.155315,-8.55195,68.22453,11.792,9.431733,175.16014,3.0,29.46718862736501,8,0.228
10,2021-07-08 18:15:39+00:00,37.154766,-8.551856,70.33083,8.576,10.309509,171.97029,6.0,61.61179986846646,8,0.29
11,2021-07-08 18:15:45+00:00,37.154224,-8.551727,72.685326,5.36,10.379318,172.48653,6.0,61.34239979300923,8,0.351
12,2021-07-08 18:15:48+00:00,37.153954,-8.551651,75.57598,5.36,9.739249,163.02383,3.0,30.768883402742926,8,0.382
13,2021-07-08 18:15:54+00:00,37.15347,-8.551507,71.04067,4.63,9.474674,154.87457,6.0,55.31076323659934,8,0.437
14,2021-07-08 18:15:57+00:00,37.153282,-8.551339,68.86351,4.824,7.6529226,142.71893,3.0,25.664866425502534,8,0.463
15,2021-07-08 18:16:03+00:00,37.152977,-8.550957,73.49175,7.504,8.197347,137.68343,6.0,47.92009534883196,8,0.511
16,2021-07-08 18:16:06+00:00,37.152874,-8.550721,70.46916,8.04,8.118944,106.26297,3.0,23.84604781888637,8,0.535
17,2021-07-08 18:16:09+00:00,37.152805,-8.5504,72.00251,8.04,9.234707,106.978165,3.0,29.4651982741013,8,0.564
18,2021-07-08 18:16:15+00:00,37.152653,-8.549766,71.321106,6.968,8.952637,112.760124,6.0,58.675562562361414,8,0.623
