,ID,City,Date,Circuit,id_containers,contentores,tipo,volume,percentagem,estado,notas,Recolhidos,Fora do Contentor,Uso Comercial,Latitude,Longitude
0,6d30fb8e,Portimão,2021-07-05,4,dce2e794,1,Rectangular c/ rodas,1000,0.5,Bom,,1,Não,Não,37.144729,-8.548999
1,b8c094dc,Portimão,2021-07-05,4,6c3e6f6e,2,Rectangular c/ rodas,1000,0.5,Bom,,2,Não,Não,37.144659,-8.551605
2,3f325f9c,Portimão,2021-07-05,2,50c9c5a1,3,Rectangular c/ rodas,1000,1.0,Bom,Recolheram 2,2,Não,Não,37.132873,-8.543445
3,02a231e4,Portimão,2021-07-05,4,8630ae90,4,Rectangular c/ rodas,1000,0.75,Bom,,4,Não,Não,37.145611,-8.552184
4,f1e7c3c6,Portimão,2021-07-05,4,ac851fd1,2,Rectangular c/ rodas,1000,0.75,Bom,,2,Não,Não,37.146479,-8.554225
5,810116c8,Portimão,2021-07-05,2,4f3389d6,2,Contentor semi-enterrado,3000,0.5,Bom,Levantam 1 de cada vez,2,Não,Não,37.132178,-8.542857
6,e02e3eea,Portimão,2021-07-05,4,d9b383b0,3,Rectangular c/ rodas,1000,0.75,Bom,,3,Não,Não,37.14639,-8.555024
7,4ffb81b5,Portimão,2021-07-05,2,1b60f72d,3,Contentor semi-enterrado,3000,0.75,Bom,"Recolheram 2, um a 75% e outro a 50%",2,Não,Não,37.131525,-8.543819
8,c28aa56d,Portimão,2021-07-05,4,50064dd5,1,Contentor semi-enterrado,3000,0.75,Bom,,1,Não,Não,37.146884,-8.558688
9,6b9203a7,Portimão,2021-07-05,2,95155c32,2,Contentor semi-enterrado,3000,0.75,Bom,"Recolheram, um a 75% e outro a 50%",2,Não,Não,37.131241,-8.54443
10,ec762cf9,Portimão,2021-07-05,4,9cd8e8bc,1,Contentor semi-enterrado,3000,0.75,Bom,,1,Não,Não,37.147146,-8.559262
11,6153140a,Portimão,2021-07-05,2,a4d4d238,2,Contentor semi-enterrado,3000,1.0,Bom,"Recolheram 1, apanharam monos e colocaram nos indiferenciado",2,Sim,Não,37.130493,-8.544502
12,3844032c,Portimão,2021-07-05,4,6c6804af,1,Rectangular c/ rodas,120,1.0,Bom,Restaurantes pontual,1,Não,Não,37.150846,-8.56302
13,b3c6a53e,Portimão,2021-07-05,2,5f4eaebb,2,Contentor semi-enterrado,3000,0.75,Bom,"Recolheram 2, um a 75, outro a 50%",2,Não,Não,37.130337,-8.54365
14,76a8ecf6,Portimão,2021-07-05,4,1818b7e7,3,Contentor semi-enterrado,3000,0.75,Bom,,3,Não,Não,37.149838,-8.562878
