Location,Time,Latitude,Longitude,Altitude,Accuracy,Speed,Bearing,Diferença,dist,Tempo Acumulado (min),Dist. Acumulada (km)
0,2021-07-07 18:08:01.883000+00:00,37.1573,-8.551989,75.19855,19.0,0.34353533,-9999.0,0.0,0.0,0,0.0
1,2021-07-07 18:08:05.083000+00:00,37.157253,-8.552124,85.69046,23.171,1.8037897,260.7848,3.2,13.055401158630046,0,0.013
2,2021-07-07 18:08:09+00:00,37.157215,-8.552157,84.32583,20.379,0.2323337,359.99826,3.917,5.13873319928279,0,0.018
3,2021-07-07 18:11:13+00:00,37.15718,-8.552208,83.2379,3.9,1.6107522,219.22581,184.0,5.964342173680582,3,0.024
4,2021-07-07 18:11:17+00:00,37.157074,-8.552223,82.97383,3.9,4.536287,163.29024,4.0,11.8613852262686,3,0.036
5,2021-07-07 18:11:19+00:00,37.15699,-8.552166,83.02983,3.9,6.212484,142.18982,2.0,10.618799098012824,3,0.047
6,2021-07-07 18:11:20+00:00,37.156948,-8.5521145,83.05671,3.9,6.6524534,136.09073,1.0,6.529958817747299,3,0.053
7,2021-07-07 18:11:21+00:00,37.156902,-8.55206,83.04449,3.9,6.6867266,133.17235,1.0,7.034918088766501,3,0.06
8,2021-07-07 18:11:23+00:00,37.156815,-8.551973,83.08776,3.9,6.8680844,156.89223,2.0,12.370511864241829,3,0.073
9,2021-07-07 18:11:25+00:00,37.15669,-8.551954,83.055595,3.9,7.9031878,176.29205,2.0,14.00098343402287,3,0.087
10,2021-07-07 18:11:27+00:00,37.156536,-8.551963,83.07627,3.9,8.86283,181.0252,2.0,17.14258336156501,3,0.104
11,2021-07-07 18:11:29+00:00,37.156376,-8.55197,83.09368,3.9,9.111334,179.76305,2.0,17.80200021215132,3,0.122
12,2021-07-07 18:11:31+00:00,37.156208,-8.551978,83.10919,3.9,9.4050455,182.70477,2.0,18.69419624631538,3,0.14
13,2021-07-07 18:11:32+00:00,37.156124,-8.551986,83.106064,3.99,9.768346,183.27837,1.0,9.367242104998947,3,0.15
14,2021-07-07 18:11:33+00:00,37.156036,-8.551995,83.17857,4.008,9.81118,183.94756,1.0,9.81760595178036,3,0.159
15,2021-07-07 18:11:35+00:00,37.155857,-8.552009,83.13404,4.008,10.348252,181.9228,2.0,19.942523892770872,3,0.179
16,2021-07-07 18:11:36+00:00,37.15576,-8.552008,83.15986,4.008,10.703295,179.97859,1.0,10.78627195679174,3,0.19
17,2021-07-07 18:11:38+00:00,37.15557,-8.551991,83.13899,3.9,10.782559,174.90764,2.0,21.180685118869484,3,0.211
18,2021-07-07 18:11:40+00:00,37.155376,-8.551958,83.07867,3.9,11.373475,172.33907,2.0,21.769155858739346,3,0.233
19,2021-07-07 18:11:42+00:00,37.155174,-8.551923,83.12679,3.9,11.793014,171.8318,2.0,22.674533485742188,3,0.256
20,2021-07-07 18:11:44+00:00,37.15497,-8.551888,83.099174,4.06,11.870678,171.83305,2.0,22.894854042786793,3,0.279
21,2021-07-07 18:11:46+00:00,37.15475,-8.551849,83.10815,4.06,12.939525,171.92015,2.0,24.70584307695251,3,0.303
22,2021-07-07 18:11:47+00:00,37.154636,-8.551829,83.07843,4.033,12.930463,171.73013,1.0,12.799540030949387,3,0.316
23,2021-07-07 18:11:48+00:00,37.154522,-8.551806,83.07336,4.06,12.614403,170.86823,1.0,12.83905811220979,3,0.329
24,2021-07-07 18:11:50+00:00,37.1543,-8.551757,83.07819,3.9,13.105977,170.20506,2.0,25.064327503193972,3,0.354
25,2021-07-07 18:11:52+00:00,37.15407,-8.551703,83.04533,3.9,12.780469,169.44894,2.0,26.018740938349985,3,0.38
26,2021-07-07 18:11:54+00:00,37.153866,-8.551654,83.09229,3.9,10.395345,167.36998,2.0,23.09569639392472,3,0.403
27,2021-07-07 18:11:55+00:00,37.15378,-8.551632,83.09493,3.9,9.090782,167.80833,1.0,9.759503532973987,3,0.413
28,2021-07-07 18:11:57+00:00,37.153656,-8.551603,83.12325,3.998,5.8671765,163.43848,2.0,14.025658782907943,3,0.427
29,2021-07-07 18:11:59+00:00,37.153572,-8.551567,83.14268,4.324,5.082334,153.16335,2.0,9.870245952950997,3,0.437
30,2021-07-07 18:12:02+00:00,37.15348,-8.551483,83.16299,4.583,3.3589892,142.53398,3.0,12.65194049574056,4,0.449
31,2021-07-07 18:12:10+00:00,37.15344,-8.551422,77.67401,4.829,1.9287006,124.633316,8.0,7.000633187360797,4,0.456
32,2021-07-07 18:12:13+00:00,37.15336,-8.551316,77.29016,4.835,4.7527013,133.54224,3.0,12.937658213905335,4,0.469
33,2021-07-07 18:12:14+00:00,37.15332,-8.551276,77.30506,4.897,5.0079517,137.49896,1.0,5.687694480118674,4,0.475
34,2021-07-07 18:12:15+00:00,37.15328,-8.551232,77.27129,4.958,4.8341146,141.59102,1.0,5.91514566494882,4,0.481
35,2021-07-07 18:12:17+00:00,37.1532,-8.551155,76.951744,4.434,5.170106,144.82507,2.0,11.211609851652506,4,0.492
36,2021-07-07 18:12:18+00:00,37.15315,-8.551111,76.96978,4.353,6.3283854,146.12065,1.0,6.790940955105773,4,0.499
37,2021-07-07 18:12:20+00:00,37.15304,-8.551016,76.98637,4.17,6.802618,146.19356,2.0,14.84904693573554,4,0.514
38,2021-07-07 18:12:22+00:00,37.152927,-8.550939,76.92693,4.087,6.7687225,154.19945,2.0,14.298559811470696,4,0.528
39,2021-07-07 18:12:23+00:00,37.15287,-8.550909,76.89794,4.087,6.6660366,157.42198,1.0,6.873183527025398,4,0.535
40,2021-07-07 18:12:24+00:00,37.152813,-8.550881,76.865845,4.194,6.8605766,156.25836,1.0,6.8065810157792646,4,0.542
41,2021-07-07 18:12:26+00:00,37.152702,-8.550811,76.80581,4.275,6.4923224,149.94362,2.0,13.814037153319692,4,0.556
42,2021-07-07 18:12:27+00:00,37.15265,-8.550777,76.77293,4.13,6.341283,154.51248,1.0,6.520191254188874,4,0.562
43,2021-07-07 18:12:28+00:00,37.1526,-8.550754,76.78853,4.13,5.7368894,163.3833,1.0,5.9216393200303,4,0.568
44,2021-07-07 18:12:30+00:00,37.152504,-8.55077,76.82745,3.9,5.115011,202.91228,2.0,10.768484285152626,4,0.579
45,2021-07-07 18:12:31+00:00,37.152462,-8.550812,76.84651,3.9,5.983176,221.94507,1.0,5.9721054991498495,4,0.585
46,2021-07-07 18:12:32+00:00,37.152424,-8.550878,76.85108,4.06,7.30445,236.66084,1.0,7.215847354677804,4,0.592
47,2021-07-07 18:12:34+00:00,37.15234,-8.55106,76.81674,4.38,9.579016,242.18869,2.0,18.63912196196134,4,0.611
48,2021-07-07 18:12:36+00:00,37.15226,-8.551246,76.88682,4.477,8.2127695,241.59302,2.0,18.73148081585807,4,0.629
49,2021-07-07 18:12:37+00:00,37.152225,-8.551322,76.8628,4.611,7.3637304,242.32692,1.0,7.779097612069172,4,0.637
50,2021-07-07 18:12:39+00:00,37.15217,-8.55146,76.88224,4.611,6.734073,242.33221,2.0,13.674242968608711,4,0.651
51,2021-07-07 18:12:41+00:00,37.15211,-8.551577,76.900154,4.693,5.7359376,226.3572,2.0,12.330175000163306,4,0.663
52,2021-07-07 18:12:43+00:00,37.152046,-8.551634,76.87313,4.693,5.734753,193.99324,2.0,8.727191735344928,4,0.672
53,2021-07-07 18:12:44+00:00,37.151993,-8.551635,76.899605,4.712,7.1261353,181.86255,1.0,5.893997474340574,4,0.678
54,2021-07-07 18:12:45+00:00,37.151924,-8.551626,76.90198,4.607,8.113535,175.7089,1.0,7.7138002397140655,4,0.686
55,2021-07-07 18:12:47+00:00,37.15178,-8.551609,76.857086,4.448,8.122165,178.3149,2.0,16.082797204307617,4,0.702
56,2021-07-07 18:12:49+00:00,37.151634,-8.551652,76.869,4.329,8.367732,198.35052,2.0,16.67576085697034,4,0.718
57,2021-07-07 18:12:50+00:00,37.15157,-8.551705,76.93212,4.311,8.7016535,208.23378,1.0,8.52690572952931,4,0.727
58,2021-07-07 18:12:51+00:00,37.151505,-8.551769,76.96631,4.428,8.959946,213.7475,1.0,9.187610865004785,4,0.736
59,2021-07-07 18:12:53+00:00,37.151386,-8.55188,77.00738,4.466,7.380704,213.744,2.0,16.488462300756442,4,0.753
60,2021-07-07 18:12:54+00:00,37.151337,-8.55192,76.98647,4.477,6.0750546,213.14406,1.0,6.500333825522279,4,0.759
61,2021-07-07 18:12:55+00:00,37.151295,-8.551952,76.92128,4.352,5.0612645,212.05597,1.0,5.463875647222276,4,0.764
62,2021-07-07 18:12:57+00:00,37.15123,-8.552002,76.910805,4.2,4.0346093,211.32884,2.0,8.477982439154106,4,0.773
63,2021-07-07 18:12:59+00:00,37.151173,-8.552041,76.87857,4.146,4.0418787,211.74416,2.0,7.219335158340743,4,0.78
64,2021-07-07 18:13:01+00:00,37.151104,-8.552105,76.88578,4.087,5.6312923,225.71361,2.0,9.541478083351038,4,0.79
65,2021-07-07 18:13:03+00:00,37.151028,-8.55219,82.78085,4.216,5.3435135,212.536,2.0,11.32110421134993,5,0.801
66,2021-07-07 18:13:04+00:00,37.150986,-8.552213,82.781044,4.257,5.427407,195.23807,1.0,5.095670380691911,5,0.806
67,2021-07-07 18:13:05+00:00,37.150936,-8.552216,82.79589,4.45,5.776349,178.18515,1.0,5.566100334379713,5,0.812
68,2021-07-07 18:13:07+00:00,37.150837,-8.552134,82.78131,4.189,7.1479445,128.22385,2.0,13.19085807828732,5,0.825
69,2021-07-07 18:13:08+00:00,37.150806,-8.552052,82.798386,4.247,8.23094,112.253105,1.0,8.043526100114674,5,0.833
70,2021-07-07 18:13:09+00:00,37.15079,-8.551955,82.809845,4.26,8.545107,101.127014,1.0,8.779058564742254,5,0.842
