,Circuit,contentores,tipo,volume,percentagem,estado,Recolhidos,Fora do Contentor,Uso Comercial,Latitude,Longitude,%_recolhidos,vol_instalado_m3,vol_cont_recolhidos_m3,vol_recolhido_m3
0,4,1,Rectangular c/ rodas,1100,0.5,Bom,1,Não,Não,37.144729,-8.548999,1.0,1.1,1.1,0.55
1,4,2,Rectangular c/ rodas,1100,0.5,Bom,2,Não,Não,37.144659,-8.551605,1.0,2.2,2.2,1.1
2,2,3,Rectangular c/ rodas,1100,1.0,Bom,2,Não,Não,37.132873,-8.543445,0.6666666666666666,3.3000000000000003,2.2,2.2
3,4,4,Rectangular c/ rodas,1100,0.75,Bom,4,Não,Não,37.145611,-8.552184,1.0,4.4,4.4,3.3000000000000003
4,4,2,Rectangular c/ rodas,1100,0.75,Bom,2,Não,Não,37.146479,-8.554225,1.0,2.2,2.2,1.6500000000000001
5,2,2,Contentor semi-enterrado,3000,0.5,Bom,2,Não,Não,37.132178,-8.542857,1.0,6.0,6.0,3.0
6,4,3,Rectangular c/ rodas,1100,0.75,Bom,3,Não,Não,37.14639,-8.555024,1.0,3.3000000000000003,3.3000000000000003,2.475
7,2,3,Contentor semi-enterrado,3000,0.75,Bom,2,Não,Não,37.131525,-8.543819,0.6666666666666666,9.0,6.0,4.5
8,4,1,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.146884,-8.558688,1.0,3.0,3.0,2.25
9,2,2,Contentor semi-enterrado,3000,0.75,Bom,2,Não,Não,37.131241,-8.54443,1.0,6.0,6.0,4.5
10,4,1,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.147146,-8.559262,1.0,3.0,3.0,2.25
11,2,2,Contentor semi-enterrado,3000,1.0,Bom,1,Sim,Não,37.130493,-8.544502,0.5,6.0,3.0,3.0
12,4,1,Rectangular c/ rodas,120,1.0,Bom,1,Não,Não,37.150846,-8.56302,1.0,0.12,0.12,0.12
13,2,2,Contentor semi-enterrado,3000,0.75,Bom,2,Não,Não,37.130337,-8.54365,1.0,6.0,6.0,4.5
14,4,3,Contentor semi-enterrado,3000,0.75,Bom,3,Não,Não,37.149838,-8.562878,1.0,9.0,9.0,6.75
15,2,3,Contentor semi-enterrado,3000,0.75,Bom,3,Não,Não,37.131436,-8.543421,1.0,9.0,9.0,6.75
16,4,1,Contentor semi-enterrado,3000,0.5,Bom,1,Não,Não,37.14848,-8.561535,1.0,3.0,3.0,1.5
17,2,3,Contentor semi-enterrado,3000,0.75,Bom,3,Não,Não,37.131526,-8.541816,1.0,9.0,9.0,6.75
18,4,2,Rectangular c/ rodas,1100,1.0,Bom,2,Não,Não,37.148176,-8.559997,1.0,2.2,2.2,2.2
19,4,2,Rectangular c/ rodas,1100,0.75,Bom,2,Não,Não,37.147462,-8.558012,1.0,2.2,2.2,1.6500000000000001
20,2,2,Contentor semi-enterrado,3000,0.75,Bom,2,Não,Não,37.132542,-8.542214,1.0,6.0,6.0,4.5
21,4,2,Contentor semi-enterrado,3000,0.5,Bom,2,Não,Não,37.146726,-8.558314,1.0,6.0,6.0,3.0
22,2,1,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.132794,-8.538279,1.0,3.0,3.0,2.25
